name,,,,,,
email,,,,,,
phone_number,,,,,,
payment_processor_id,,,,,,
app_version,,,,,,
push notification device id,,,,,,
,,,,,,
store,order creation UTC,reserved pickup time UTC,status,subtotal,tip,taxes
Middlefield Rd,10/17/20 21:15,10/17/20 21:45,assigned,1280,0,0
Campbell,10/4/20 18:30,10/4/20 18:55,assigned,360,0,0
DeAnza Cupertino,9/26/20 18:37,9/26/20 18:55,assigned,820,0,0
Campbell,10/11/20 17:37,10/11/20 17:50,assigned,360,0,0
Middlefield Rd,9/13/20 20:23,9/13/20 20:35,assigned,1380,0,0
Campbell,9/22/20 19:20,9/22/20 19:35,assigned,460,0,0
Campbell,9/12/20 19:37,9/12/20 19:55,assigned,360,0,0
Middlefield Rd,9/20/20 23:50,9/21/20 0:10,assigned,360,0,0
Middlefield Rd,9/5/20 21:31,9/5/20 21:40,cancelled_by_barista,460,0,0
Cupertino Main,9/19/20 20:32,9/19/20 21:00,cancelled,560,0,0
Cupertino Main,9/19/20 20:34,9/19/20 21:00,assigned,460,0,0
Campbell,8/25/20 21:49,8/25/20 22:05,assigned,360,0,0
Cupertino Main,8/22/20 20:05,8/22/20 20:15,cancelled,460,0,0
Cupertino Main,8/22/20 20:06,8/22/20 20:35,assigned,460,0,0
DeAnza Cupertino,8/31/20 22:25,8/31/20 22:35,assigned,360,0,0
Campbell,8/21/20 0:03,8/21/20 0:20,assigned,360,0,0
Campbell,8/18/20 19:09,8/18/20 19:20,assigned,360,0,0
Sunnyvale,8/17/20 19:25,8/17/20 19:35,assigned,360,0,0
Cupertino Main,8/30/20 20:13,8/30/20 20:30,assigned,360,0,0
Campbell,9/18/20 18:20,9/18/20 18:50,assigned,820,0,0
Campbell,8/14/20 18:38,8/14/20 18:55,assigned,360,0,0
Cupertino Main,8/29/20 18:22,8/29/20 18:50,assigned,360,0,0
Middlefield Rd,8/7/20 20:55,8/7/20 21:10,assigned,460,0,0
Cupertino Main,8/2/20 21:01,8/2/20 21:45,assigned,360,0,0
Campbell,8/28/20 18:44,8/28/20 19:05,assigned,360,0,0
Campbell,7/26/20 23:29,7/27/20 0:00,assigned,460,0,0
Campbell,7/17/20 21:31,7/17/20 21:45,assigned,360,0,0
Campbell,7/12/20 22:43,7/12/20 23:10,assigned,360,0,0
Campbell,7/10/20 19:52,7/10/20 20:10,assigned,460,0,0
Campbell,7/3/20 21:09,7/3/20 21:25,assigned,460,0,0
Campbell,6/10/20 18:51,6/10/20 19:10,assigned,1020,0,0
Los Gatos,6/6/20 16:02,6/6/20 16:45,assigned,360,0,0
Campbell,6/1/20 22:16,6/1/20 22:40,assigned,360,0,0
Cupertino Main,5/31/20 22:29,5/31/20 22:50,assigned,360,0,0
Campbell,5/26/20 20:11,5/26/20 20:40,assigned,460,0,0
Cupertino Main,5/25/20 18:35,5/25/20 19:05,assigned,460,0,0
Fremont,5/24/20 17:54,5/24/20 18:40,assigned,1480,0,0
Fremont,5/12/20 18:32,5/12/20 19:00,assigned,460,0,0
Campbell,5/7/20 18:14,5/7/20 18:30,assigned,755,0,0
Campbell,4/23/20 17:26,4/23/20 17:45,assigned,560,0,0
Campbell,4/22/20 16:11,4/22/20 16:30,assigned,360,0,0
Campbell,4/21/20 15:34,4/21/20 15:55,assigned,360,0,0
Cupertino Main,4/19/20 19:40,4/19/20 20:25,assigned,360,0,0
Campbell,4/18/20 19:46,4/18/20 20:30,assigned,360,0,0
Campbell,4/17/20 20:05,4/17/20 20:35,assigned,460,0,0
Campbell,4/15/20 19:04,4/15/20 19:40,assigned,360,0,0
Campbell,4/5/20 20:08,4/5/20 20:20,assigned,360,0,0
Campbell,4/3/20 19:30,4/3/20 19:45,assigned,460,0,0
Campbell,4/1/20 14:37,4/1/20 14:55,assigned,360,0,0
Campbell,4/14/20 18:35,4/14/20 18:55,assigned,460,0,0
Campbell,4/13/20 17:55,4/13/20 18:15,assigned,460,0,0
DeAnza Cupertino,3/14/20 20:41,3/14/20 20:55,assigned,360,0,0
Middlefield Rd,4/11/20 20:24,4/11/20 20:40,assigned,460,0,0
Sunnyvale,12/24/19 21:14,12/24/19 21:25,assigned,360,0,0
South Coast Metro,12/20/19 16:39,12/20/19 17:05,assigned,460,0,0
South Coast Metro,12/19/19 16:30,12/19/19 16:50,assigned,460,0,0
South Coast Metro,12/18/19 16:28,12/18/19 16:55,assigned,360,0,0
South Coast Metro,12/12/19 16:36,12/12/19 16:55,assigned,360,0,0
South Coast Metro,12/11/19 16:21,12/11/19 16:55,assigned,360,0,0
South Coast Metro,12/10/19 16:21,12/10/19 16:55,assigned,460,0,0
South Coast Metro,12/9/19 15:43,12/9/19 16:10,assigned,360,0,0
Front St,10/22/19 19:14,10/22/19 19:20,assigned,360,0,13
South Coast Metro,9/20/19 15:20,9/20/19 15:45,assigned,460,0,0
South Coast Metro,9/18/19 15:17,9/18/19 15:45,assigned,460,0,0
Sunnyvale,8/24/19 17:33,8/24/19 17:45,assigned,1180,0,0
Front St,8/22/19 16:38,8/22/19 17:00,assigned,1380,0,0
Cupertino Main,8/4/19 21:28,8/4/19 21:40,assigned,360,0,0
Sunnyvale,7/28/19 15:32,7/28/19 15:50,assigned,360,0,0
Sunnyvale,5/1/19 14:26,5/1/19 15:00,assigned,360,0,0
Campbell,4/7/19 22:25,4/7/19 22:50,assigned,360,0,0
Front St,4/4/19 16:42,4/4/19 16:50,assigned,360,0,0
Campbell,2/16/19 21:00,2/16/19 13:10,assigned,360,0,0
Sunnyvale,12/6/18 22:29,12/6/18 14:45,assigned,820,0,0
Sunnyvale,3/28/19 22:30,3/28/19 15:40,assigned,360,0,0
Middlefield Rd,12/24/18 17:20,12/24/18 9:45,assigned,820,0,0
Sunnyvale,3/16/19 21:05,3/16/19 14:15,assigned,360,0,0
La Jolla,7/7/18 21:17,7/7/18 14:25,assigned,460,0,0
DeAnza Cupertino,4/29/18 22:48,4/29/18 15:55,assigned,450,0,0
Middlefield Rd,4/8/18 16:16,4/8/18 9:30,assigned,0,0,0
Campbell,2/23/19 21:06,2/23/19 13:25,assigned,920,0,0
Campbell,2/21/19 17:55,2/21/19 10:05,assigned,360,0,0
Sunnyvale,1/26/19 19:32,1/26/19 11:40,assigned,460,0,0
Sunnyvale,10/6/18 19:04,10/6/18 12:35,assigned,460,0,0
Sunnyvale,7/14/18 19:22,7/14/18 12:35,assigned,920,0,0
Cupertino Main,7/14/18 19:21,7/14/18 12:35,cancelled,920,0,0
Sunnyvale,7/13/18 20:44,7/13/18 13:50,assigned,360,0,0
DeAnza Cupertino,6/19/18 20:38,6/19/18 13:45,assigned,350,0,0
DeAnza Cupertino,6/9/18 20:56,6/9/18 14:05,assigned,350,0,0
Sunnyvale,5/15/18 1:31,5/15/18 15:15,assigned,350,0,0
DeAnza Cupertino,5/13/18 18:10,5/13/18 11:20,assigned,450,0,0
Middlefield Rd,5/5/18 20:14,5/5/18 13:20,assigned,350,0,0
